column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24
Hospedaje-el-Viajero,Cra8#5c-44,3214141208,NELSON,,,,,,,,,,,,,,,,,,,,,
Hotel-Sevilla-Sr,carrera10#5-246,3223896750,FRANKLIN,,,,,,,,,,,,,,,,,,,,,
hotel-El-Capitán,cr7#7-41,3134188013,DON-ORLANDO,,,,,,,,,,,,,,,,,,,,,
Nombre-del-Establecimiento,Dirección,Teléfono,PROPETARIO,,,,,,,,,,,,,,,,,,,,,
Hotel-El-Dorado,Cra10#5c-115,7485481-3138767654,DOÑA-FLORALBA,,,,,,,,,,,,,,,,,,,,,
Hotel-Nogaro,Diagonal18#17-16,3124493129-3124329068,DOÑA-LETICIA,,,,,,,,,,,,,,,,,,,,,
Hotel-y-Centro-Recracional-Villa-Yolanda,Km5víaB-sa-B-ga,3185438084,DON-LUIS-EDUARDO,,,,,,,,,,,,,,,,,,,,,
Hotel-Villa-del-Sol,Cra8#6-23,7485561-3107852581,,,,,,,,,,,,,,,,,,,,,,
Hotel-La-Nave,Cra8contrav6,3133994863,,,,,,,,,,,,,,,,,,,,,,
Hotel-Rios,Cra8#5c-84,3144016547,CARLOS,,,,,,,,,,,,,,,,,,,,,
Hotel-Bolivar,cra8#5c,7481147,,,,,,,,,,,,,,,,,,,,,,
Hotel-La-Primavera,Km1VíaB-sa-B-ga,3133825058,DOÑA-GLORIA,,,,,,,,,,,,,,,,,,,,,
Hotel-Puerta-de-Oro,carrera8#9-20,7482854,DON-LUIS-,,,,,,,,,,,,,,,,,,,,,
Hotel-San-José-Premium,cra8#7-70,7481104,DON-JOSE,,,,,,,,,,,,,,,,,,,,,
Hotel-Moncada,Carrera10#16-70,7486001,SEÑORITA-DORIS,,,,,,,,,,,,,,,,,,,,,
Hotel-La-Aduana,Km1VíaB-sa-B-ga,3122885649,,,,,,,,,,,,,,,,,,,,,,
Hotel-Sur-America,Calle5c#7-34,3125554059,,,,,,,,,,,,,,,,,,,,,,
Hotel-Montreal,Cra10#16-27,7486937,,,,,,,,,,,,,,,,,,,,,,
Hotel-Metropolis,calle7#7-57,7481275-3202535930,DOÑA-GRACIELA,,,,,,,,,,,,,,,,,,,,,
Hotel-Ariom,calle10a#10-10,3138364252,DON-MORA,,,,,,,,,,,,,,,,,,,,,
Hotel-Palacio-Miraflores,cra8#5b-22,3143357663,DON-ORLANDO,,,,,,,,,,,,,,,,,,,,,
