DEPARTAMENTO_PRESTACION,MUNICIPIO_PRESTACION,SERVICIO,ESTADO,NOMBRE,NIT,DEPARTAMENTO_DOMICILIO,MUNICIPIO_DOMICILIO,DIRECCION,TELEFONO,EMAIL,TIPO_INSCRIPCION,REPRESENTANTE_LEGAL,TIPO_PRESTADOR,CLASIFICACION
AMAZONAS,LETICIA,ALCANTARILLADO,EN PROCESO DE LIQUIDACION,"EMPRESA DE OBRAS SANITARIAS DE LETICIA E.S.P. ""EN LIQUIDACIÓN""",,AMAZONAS,LETICIA,CRA 6 N. 9-89,5927695,empoleticia@hotmail.com,Registro por la ESP,RICARDO MADIEDO MORENO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ALCANTARILLADO,OPERATIVA,EMPUAMAZONAS SOCIEDAD ANONIMA EMPRESA DE SERVICIOS PUBLICOS,,AMAZONAS,LETICIA,CARRERA 7 No 10 - 70,5925102,mellis_serrato12@hotmail.com,Registro por la ESP,HERMANN CAMACHO TORRES,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ALCANTARILLADO,OPERATIVA,ALCALDIA DE LETICIA,,AMAZONAS,LETICIA,Calle 10 N. 10-47,5928064,alcaldia@leticia-amazonas.gov.co,Registro por la ESP,JOSE IGNACIO  LOZANO  GUZMAN,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ASEO,OPERATIVA,fundacion amazonas sin limites,,AMAZONAS,LETICIA,carrera1a # 14-43,3203237,funsinlimites@hotmail.com,Registro por la ESP,POMPILIO ANDRES LOSADA PINZON,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ASEO,OPERATIVA,EMPUAMAZONAS SOCIEDAD ANONIMA EMPRESA DE SERVICIOS PUBLICOS,,AMAZONAS,LETICIA,CARRERA 7 No 10 - 70,5925102,mellis_serrato12@hotmail.com,Registro por la ESP,HERMANN CAMACHO TORRES,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ACUEDUCTO,EN PROCESO DE LIQUIDACION,"EMPRESA DE OBRAS SANITARIAS DE LETICIA E.S.P. ""EN LIQUIDACIÓN""",,AMAZONAS,LETICIA,CRA 6 N. 9-89,5927695,empoleticia@hotmail.com,Registro por la ESP,RICARDO MADIEDO MORENO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ACUEDUCTO,OPERATIVA,ALCALDIA DE LETICIA,,AMAZONAS,LETICIA,Calle 10 N. 10-47,5928064,alcaldia@leticia-amazonas.gov.co,Registro por la ESP,JOSE IGNACIO  LOZANO  GUZMAN,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ASEO,EN PROCESO DE LIQUIDACION,"EMPRESA DE OBRAS SANITARIAS DE LETICIA E.S.P. ""EN LIQUIDACIÓN""",,AMAZONAS,LETICIA,CRA 6 N. 9-89,5927695,empoleticia@hotmail.com,Registro por la ESP,RICARDO MADIEDO MORENO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ACUEDUCTO,OPERATIVA,EMPUAMAZONAS SOCIEDAD ANONIMA EMPRESA DE SERVICIOS PUBLICOS,,AMAZONAS,LETICIA,CARRERA 7 No 10 - 70,5925102,mellis_serrato12@hotmail.com,Registro por la ESP,HERMANN CAMACHO TORRES,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
AMAZONAS,LETICIA,ASEO,OPERATIVA,ALCALDIA DE LETICIA,,AMAZONAS,LETICIA,Calle 10 N. 10-47,5928064,alcaldia@leticia-amazonas.gov.co,Registro por la ESP,JOSE IGNACIO  LOZANO  GUZMAN,MUNICIPIO (PRESTACIÓN DIRECTA),MAS DE 2500 SUSCRIPTORES
AMAZONAS,PUERTO NARINO,ASEO,OPERATIVA,MUNICIPIO DE PUERTO NARIÑO,,AMAZONAS,PUERTO NARINO,CALLE 5 CON CRA 6 ESQUINA,5927323,alcaldiapuertonarino@hotmail.com,Registro por la ESP,NELSO RUIZ AHUE,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
AMAZONAS,PUERTO NARINO,ACUEDUCTO,OPERATIVA,MUNICIPIO DE PUERTO NARIÑO,,AMAZONAS,PUERTO NARINO,CALLE 5 CON CRA 6 ESQUINA,5927323,alcaldiapuertonarino@hotmail.com,Registro por la ESP,NELSO RUIZ AHUE,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
