nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
312,30765,PPC Pollo; Pizza; Carne,Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 114,NR,Antonio Nariño,No,NA,www.ppc.com.co
74,14811,MC Donalds Avenida Jiménez,Avenida Jiménez No 7 - 25,243 94 91 - 311 491 31 75,Candelaria,Sí,400 33 33,www.mcdonalds.com.co
307,30223,Andrés Exprés Caseta de Luxe,Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 391,416 82 67 -,Fontibón,No,NA,www.andrescarnederes.com
378,34251,Bogota Beer Company S A,Carrera 7 No 32  - 48,350 90 93 -,Santafé,NR,NA,www.bogotabeercompany.com
370,34031,Restaurante Indigo,Carrera 11 A No 93 B - 27,691 50 06 - 691 50 04,Chapinero,NR,NA,NR
260,27339,KFC,Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 377,NR,Fontibón,Sí,600 09 09,www.kfcbuenisimo.com/colombia
173,24346,Aracataca Colombian Steakhouse,Carrera 13 No 28 A - 31 Local 101,288 85 64 - 288 88 73,Santafé,Sí,288 85 64,www.restaurantearacataca.com
185,25667,Crepes & Waffles,Avenida 19 No 120 - 16,676 76 00 Extensión 703 -,Usaquén,No,NA,www.Crepesywaffles.com
324,31047,Sopas de Mamá y Postres de la Abuela  Sucursal Centro Mayor,Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 50 Local 316,658 48 97 -,Antonio Nariño,NR,NA,www.sopasypostres.com.co
120,19123,Punto Rápido Puente Aéreo,Avenida calle 26 No 106 - 28 Puente Aéreo  Local 207,413 88 84 -,Fontibón,NR,NA,NR
245,27239,Presto Calle 23,Carrera 7 No 22 - 95,243 73 70 -,Santafé,Sí,6550 550,www.presto.com.co
332,31416,Andrés Exprés Caseta de Luxe,Centro Comercial Unicentro de occidente Carrera 111 C No 86 - 05 Local 2-26,863 78 80 -,Engativá,NR,NA,www.andrescarnederes.com
246,27240,Presto Palma Real,Carrera A 13 No 28 - 23 Local 1-A4,288 78 95 -,Santafé,Sí,6550 550,www.presto.com.co
91,15758,Cotidiano Café Brasserie,Carrera 5 No 71 - 45 Local 104,654 54 54 -,Chapinero,Sí,654 54 54,www.elcotidiano.com.co
333,31455,1.492 Restaurante Latino,Carrera 12 No 83 - 11,257 28 53 -,Chapinero,No,NA,www.1492restaurante.com
283,29840,Don Jediondo Sopitas y Parrilla,Centro Comercial Santafé Calle 185 No 45 - 03 LC 395,605 83 13 -,Usaquén,Sí,605 83 13,www.donjediondo.com
201,26320,Hamburguesas el Corral Gran Estación II,Centro Comercial Gran Estación Avenida Calle 26 No 62 - 47 Local 350,NR,Teusaquillo,No,NA,www.elcorral.com
247,27241,Presto Carrera 7,Carrera 7 No 12B - 72,342 10 41 -,Candelaria,Sí,6550 550,www.presto.com.co
385,34435,Presto Santander,Carrera 7 No 16 - 49,341 01 37 -,Santafé,Sí,6550 550,www.presto.com.co
159,22614,Il Panino,Calle 93 A No 11 A - 26/30,616 01 41 -,Chapinero,NR,NA,NR
50,14633,Restaurante Wok,Calle 93B No 12 - 28,236 49 39 -,Chapinero,NR,NA,www.wok.com.co
18,14352,Hamburguesas el Corral Andino,Carrera 11 No 82 - 01/71 Local 405,NR,Chapinero,No,NA,www.elcorral.com
387,34468,Andrés Expres Caseta De Luxe,Centro Comercial Avenida de Las Américas No 62 - 84 Local 388,863 78 80 -,Puente Aranda,NR,NA,www.andrescarnederes.com
148,22454,Isola,Carrera 12 A No 83 - 30,530 06 78 -,Chapinero,NR,NA,www.isolarestaurante.com
172,24345,Trattoria Bellini,Carrera 13 No 28 A - 31 Piso 3,288 85 60 - 288 88 73,Santafé,Sí,288 87 50 - 288 85 60,www.belliniRestaurante.com
72,14809,MC Donalds Plaza de Las Américas,Centro Comercial Plaza de Las Américas Carrera 71 D No 6 - 94 Sur Local 1500,260 82 20 - 311 561 08 62,Kennedy,Sí,400 33 33,www.mcdonalds.com.co
196,25909,Gaira Café,Carrera 13 No 96 - 11,746 26 96 -,Chapinero,NR,NA,www.gairacafe.co
394,34921,La Hamburgueseria  La 85,Calle 85 No 12 - 49,610 20 01 -,Chapinero,Sí,600 09 69,www.lahamburgueseria.com
85,15027,Oma Café Restaurante Bogotá Zona T,Carrera 12 A No 83 - 49,NR,Chapinero,NR,NA,http://173.254.122.220/
374,34167,Restaurante La Juguetería 147,Avenida 19 No 147 - 30,300 08 69 -,Usaquén,NR,NA,www.restaurantelajugueteria.com.co
277,29564,Crepes & Waffles,Centro comercial Gran Estación Avenida Calle 26 No  62 - 47  Local 319-320 Esfera,676 76 00 Extensión 760 -,Teusaquillo,No,NA,www.Crepesywaffles.com
162,22845,Restaurante Wok,Carrera 6A  117 -  02,213 44 36 -,Usaquén,NR,NA,www.wok.com.co
218,26365,MC Donalds Santafé,Centro Comercial Santafé Calle 183 No 45 - 03 Local 3-121,600 65 07 - 312 588 95 17,Usaquén,Sí,400 33 33,www.mcdonalds.com.co
395,34923,La Hamburgueseria  Usaquén,Calle 118 No 6 A - 40,214 19 43 - 213 35 18,Usaquén,Sí,600 09 69,www.lahamburgueseria.com
331,31415,Andrés Exprés Caseta de Luxe,Centro Comercial Portal de la 80 Transversal 100 A No 80 A - 20 Local N3-034,863 78 80 -,Engativá,NR,NA,www.andrescarnederes.com
87,15081,Donostia Cocina de Mercado,Calle 29 BIS No 5 - 84,287 39 43 -,Santafé,NR,NA,NR
252,27249,Frisby G81,Centro Comercial Atlantis Plaza Calle 81 No 13 - 05 Local 404,01800939000 -,Chapinero,Sí,01 800 939 000,www.frisby.com.co
365,33785,Las Cuatro Estaciones de Catalonia,Carrera 8 A No 98 - 38,256 93 09 -,Chapinero,Sí,2569309 Extensión 109,NR
261,27546,Paneroli,Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 419,416 93 71 -,Fontibón,Sí,416 93 71,paneroli.com
10,14335,Hamburguesas el Corral Pepe Sierra,Avenida 116 No 18B - 75,NR,Usaquén,No,NA,www.elcorral.com
325,31048,Sopas de Mamá y Postres de la Abuela Sucursal Santafé,Centro Comercial Santafé Autopista Norte Calle 185 No 45 - 03 Local 366,658 48 96 -,Usaquén,NR,NA,www.sopasypostres.com.co
298,30022,Nueve,Calle 70 A No 10 A - 18,248 70 73 -,Chapinero,NR,NA,www.nueve.in
275,28413,Hamburguesas el Corral Exito Villa Mayor,Autopista Sur No 38 A - 07 Local 113,NR,Antonio Nariño,No,NA,www.elcorral.com
232,26477,Enchiladas Cocina Mexicana,Calle 10 No 2 - 12,286 03 12 - 315 311 16 46,Candelaria,NR,NA,enchiladascandelaria.com
353,32851,Kokoriko Avenida Chile,Avenida  13 No 71 - 60,NR,Chapinero,Sí,410 01 11,www.kokoriko.com.co
